dates,Title,File,Political Influence,Scientific Data Mentioned,Statistical Data Mentioned,Source Mentioned,Authenticity,Stance Detection,Location,Focus,Target,Authority Involvement
11 November 2019 09:25,"কাটোয়ার জল সংরক্ষণ, কয়েকটি দিকে নজর দেওয়া জরুরি",ID-1531.txt,No,No,Yes,Yes,Problematic,Positive,Bangladesh,Rain,General People,Government
08 November 2019 04:46,নাড়া পোড়া বন্ধে যথেষ্ট প্রচার নেই,ID-1532.txt,No,Yes,No,No,Real,Positive,India,Environmental Pollution,General People,Environmental/Forestry Authority
08 November 2019 03:48,হাল্কা বৃষ্টিতেও দূষণ কমেনি রাজধানীতে,ID-1533.txt,Yes,No,Yes,Yes,Real,Positive,India,Environmental Pollution,General People,Government
07 November 2019 02:40,"ফসলের গোড়া কিনতে সময় সাত দিন, পঞ্জাব ও হরিয়ানাকে ভর্ৎসনা সুপ্রিম কোর্টের",ID-1534.txt,No,No,No,No,Real,Problematic,India,Air Pollution,Authority,Legal/Court
07 November 2019 01:03,দূষণ রোধে প্রচার বাড়ান: প্রিয়ঙ্কা,ID-1535.txt,Yes,No,No,No,Real,Neutral,India,Air Pollution,N/A,N/A
06 November 2019 03:44,দূষণ নিয়ে পরামর্শ পেতে বিশেষজ্ঞ কমিটি,ID-1537.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,N/A,Government
06 November 2019 02:50,"বিষ জলে তিন দশকে মৃত দু’শোরও বেশি, আক্রান্ত ৫০ হাজার",ID-1538.txt,No,Yes,No,No,Real,Positive,Bangladesh,Water Resource Pollution,Government,Other Authority
06 November 2019 02:04,দেশে ফিরেই দূষণ নিয়ে বৈঠক মোদীর,ID-1539.txt,Yes,No,Yes,No,Real,Positive,India,Environmental Pollution,All,Government
05 November 2019 16:31,তাজমহলের গেটে বসল বায়ু পরিশোধক যন্ত্র,ID-1540.txt,No,No,No,No,Real,Positive,India,Air Pollution,N/A,Environmental/Forestry Authority
05 November 2019 02:46,হাওয়ার গতি বাড়াতেই কমল দূষণ রাজধানীতে,ID-1541.txt,No,No,No,No,Real,Positive,India,Air Pollution,General People,Legal/Court
03 November 2019 12:06,"হিতে বিপরীত! বৃষ্টিতে আরও ভয়াবহ দিল্লির দূষণ, কাল থেকে ফের জোড়-বিজোড় নীতি",ID-1547.txt,Yes,Yes,Yes,No,Real,Positive,Bangladesh,Air Pollution,Government,Government
03 November 2019 03:17,"দিল্লির আকাশ আরও ঘোলাটে, রাজনীতির চাপান-উতোর চলছেই",ID-1548.txt,No,No,No,No,Real,Neutral,India,Air Pollution,General People,Legal/Court
02 November 2019 02:37,নীলকণ্ঠ হবে সুভাষ সরোবর,ID-1553.txt,No,No,No,No,Real,Problematic,India,Environmental Pollution,Authority,Environmental/Forestry Authority
01 November 2019 02:21,‘লাঠি-গুলি চালিয়ে দূষণ রুখতে পারব না’,ID-1556.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,General People,Legal/Court
30 October 2019 02:54,ভাইফোঁটায় শহরের সঙ্গী হল সেই বাজির দূষণই,ID-1558.txt,No,No,Yes,No,Real,Problematic,India,Air Pollution,General People,Other Authority
29 October 2019 15:38,"দিওয়ালির রাতে দূষণ, শীর্ষে সিঁথি, দুইয়ে যাদবপুর",ID-1559.txt,No,No,Yes,Yes,Real,Positive,India,Sound Pollution,General People,N/A
29 October 2019 03:32,দূষণ কমলেও এখনও ভয়াবহ দিল্লির অবস্থা,ID-1560.txt,No,No,Yes,No,Real,Neutral,India,Air Pollution,N/A,N/A
29 October 2019 02:24,"মধ্যরাতের দূষণ ভাঙল রেকর্ড, হাওয়া ‘খুব খারাপ’",ID-1561.txt,No,No,Yes,Yes,Real,Positive,India,Sound Pollution,General People,Environmental/Forestry Authority
29 October 2019 00:01,সম্পাদক সমীপেষু: কানের পর্দা ফাটাব,ID-1563.txt,Yes,No,No,Yes,Real,Positive,India,Sound Pollution,General People,N/A
24 October 2019 02:57,‘চকলেট বোমা ছাড়া কি আর দূষণ হয় না?’,ID-1573.txt,No,No,No,No,Real,Negative,India,Environmental Pollution,Authority,N/A
23 October 2019 02:21,ডিজে বক্স বাজানোয় নিষেধাজ্ঞা জারি করল জয়নগরের পুলিশ,ID-1576.txt,No,No,No,No,Real,Positive,India,Sound Pollution,General People,Crime/Police
22 October 2019 20:48,"শব্দদৈত্যকে রুখতে সচেতনাই অস্ত্র, মনে করছে পুলিশ",ID-1577.txt,No,No,No,No,Real,Positive,India,Sound Pollution,General People,Crime/Police
21 October 2019 03:05,নিয়ম ভেঙে বাজি ফাটালে শাস্তিতে জোর,ID-1579.txt,No,No,No,No,Real,Positive,Bangladesh,Sound Pollution,General People,Legal/Court
21 October 2019 02:50,কার্নিভাল শেষে দূষণ ছড়াচ্ছে প্লাস্টিকের পাউচ,ID-1580.txt,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Environmental/Forestry Authority
21 October 2019 00:53,তৈরি হোক ইকো ব্রিক্‌স,ID-1581.txt,No,Yes,Yes,No,Real,Neutral,Bangladesh,Plastic Pollution,General People,N/A
20 October 2019 17:37,"নিষিদ্ধ বাজি ফাটালে ৫ বছর জেল, সতর্ক করল পর্ষদ, পুলিশকে ড্রোন ওড়ানোর পরামর্শ",ID-1582.txt,No,No,No,No,Real,Positive,Bangladesh,Sound Pollution,General People,Crime/Police
20 October 2019 02:12,পুরনো গাড়ি ধাপে ধাপে বাতিলের দাবি,ID-1583.txt,No,No,No,No,Real,Positive,Bangladesh,Environmental Pollution,General People,Legal/Court
19 October 2019 03:38,পরিবেশ বাঁচানোর বার্তা মুখ্যসচিবের,ID-1585.txt,No,No,No,No,Real,Positive,Bangladesh,Environmental Protection,General People,Crime/Police
13 October 2019 00:40,"সচেতনতা সামান্য,পুকুর দূষণ চলছেই",ID-1588.txt,No,No,No,No,Real,Negative,India,Water Resource Pollution,Authority,Other Authority
13 October 2019 00:01,নিয়ম এড়িয়ে জলাশয়েই বিসর্জন,ID-1589.txt,No,No,No,No,Real,Positive,India,Water Pollution,Government,Legal/Court
12 October 2019 00:00,নদীতে ক্রেন শুধু সদরেই,ID-1591.txt,No,No,No,No,Real,Negative,India,Water Pollution,General People,Environmental/Forestry Authority
30 September 2019 05:55,নালার জল শোধনে প্রকল্প উলুবেড়িয়ায়,ID-1603.txt,No,No,No,No,Real,Positive,India,Water Pollution,Industries,Government
30 September 2019 02:04,"প্রচার সত্ত্বেও, অবাধে চলছে প্লাস্টিকের ব্যবহার",ID-1605.txt,Yes,No,No,No,Real,Positive,India,Plastic Pollution,General People,N/A
26 September 2019 09:04,"পিঠে ঝুড়ি, স্ত্রীর পিঠে সন্তান, দূষণ রোধে পথ দেখাচ্ছেন আইপিএস অফিসার",ID-1607.txt,No,No,No,No,Real,Positive,India,Environmental Protection,All,Other Authority
16 September 2019 14:36,"দূষণ ডেকে আনছে অকাল ডিমেনশিয়া, উপায় কী?",ID-1610.txt,No,No,No,No,Real,Positive,Global,Environmental Pollution,General People,Scientists & Researcher
16 September 2019 01:22,প্লাস্টিক নিয়ে স্পষ্ট নীতি দাবি শিল্পের,ID-1611.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,Government,Legal/Court
16 September 2019 00:51,"আলোর থেকেও হচ্ছে দূষণ, প্রশ্ন সচেতনতা নিয়ে",ID-1612.txt,No,No,No,No,Real,Positive,Global,Light Pollution,General People,Scientists & Researcher
30 August 2019 00:20,পুণ্যের দূষণ,ID-1616.txt,No,No,No,No,Real,Neutral,India,Environmental Pollution,N/A,N/A
28 August 2019 01:24,"জোর যানজট, দূষণ রোধে",ID-1617.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,General People,Government
26 August 2019 00:40,দূষণমুক্ত রাখতে হবে ঘরকেও,ID-1618.txt,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Other Authority
19 August 2019 02:15,সবাই মিলে প্লাস্টিককে না বলা দরকার,ID-1619.txt,No,No,No,No,Real,Neutral,Bangladesh,Plastic Pollution,Industries,N/A
08 August 2019 01:20,নিষিদ্ধ বাজি বিক্রি রুখতে কড়া পুলিশ,ID-1621.txt,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Crime/Police
08 August 2019 00:53,বেলগাছিয়া ভাগাড়ের দূষণ কমাতে নয়া উদ্যোগ,ID-1622.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,N/A,Government
05 August 2019 00:05,"ঘরের মধ্যে কোন গাছ রাখা উচিত, কী বলছে বাস্তুশাস্ত্র",ID-1624.txt,No,No,No,No,Real,Positive,Global,Forestry and Tree Plantation,N/A,N/A
25 July 2019 01:56,"বাড়ছে দূষণ, কাজ শেষ হয়নি প্রকল্পের",ID-1627.txt,No,No,No,No,Real,Positive,India,Water Pollution,Authority,Government
05 July 2019 01:17,এ বিশ্বকে বাসযোগ্য করতে প্লাস্টিক দূষণ কমাতেই হবে,ID-1632.txt,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Environmental/Forestry Authority
17 June 2019 01:16,গঙ্গায় ভাসল তুলো ভর্তি জ্বলন্ত বস্তা,ID-1633.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,Authority,Environmental/Forestry Authority
06 June 2019 02:26,সরোবরে দূষণ ঠেকাতে জরিমানা করার ভাবনা,ID-1636.txt,No,No,No,No,Real,Positive,India,Water Pollution,N/A,Legal/Court
05 June 2019 11:33,"বায়ুদূষণের কোপে পড়ছে আপনার সন্তানও, বাঁচতে মেনে চলুন এ সব",ID-1637.txt,No,Yes,No,No,Real,Positive,India,Environmental Pollution,General People,Scientists & Researcher
15 June 2023 05:26,হাইকোর্ট: একটি গাছ কাটতে হলে ১০টি লাগাতে হবে,ID-164.txt,No,No,No,Yes,Real,Positive,Bangladesh,Foresty and Tree Plantation,General People,Legal/Court
24 April 2019 00:00,"কোর্টের নির্দেশই সার, দূষণ ছড়িয়ে অবাধে চলছে ট্যানারি",ID-1642.txt,Yes,No,No,No,Real,Positive,India,Climate Change,General People,Legal/Court
24 April 2019 00:00,"স্কুলে আসা গাড়ির ভিড়ে অতিষ্ঠ, পথে বাসিন্দারা",ID-1643.txt,No,No,No,No,Real,Positive,India,Sound Pollution,Authority,General people
30 March 2019 13:47,সুন্দরবন এলাকায় প্লাস্টিকের দূষণ রুখতে উদ্যোগ,ID-1653.txt,No,No,No,No,Real,Neutral,Bangladesh,Plastic Pollution,N/A,Environmental/Forestry Authority
29 March 2019 02:42,দূষণ নিয়ে উচ্চবাচ্য নেই কারও প্রচারেই,ID-1654.txt,No,No,No,No,Real,Problematic,India,Environmental Pollution,Authority,N/A
28 March 2019 00:32,দূষণ ঠেকাতে ভেষজ রঙে দেওয়াল লিখন,ID-1655.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,N/A,N/A
24 March 2019 01:02,বাইকের মিছিল থেকেও ছড়াচ্ছে দূষণ,ID-1658.txt,Yes,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Authority,Environmental/Forestry Authority
16 March 2019 02:44,"নাকের ডগায় প্লাস্টিক দূষণ, চুপ প্রশাসন!",ID-1660.txt,Yes,No,Yes,Yes,Real,Positive,Bangladesh,Plastic Pollution,Government,General people
07 March 2022 07:34,"স্বাস্থ্য শিবির থেকে ফুটবল, শব্দবাণের দাপট পরীক্ষার মুখে",ID-1664.txt,No,No,No,No,Real,Problematic,India,Sound Pollution,General People,Legal/Court
03 March 2022 20:50,"পরিবেশ বাঁচান তবেই বাঁচবে সভ্যতা, বাল্মীকির মুখ দিয়ে বার্তা দিয়েছিলেন রবীন্দ্রনাথ",ID-1665.txt,No,No,No,No,Real,Positive,Bangladesh,Environmental Protection,N/A,General people
14 February 2022 04:38,সুরক্ষার স্বার্থে,ID-1681.txt,Yes,No,No,No,Real,Positive,India,Environmental Protection,Government,Government
03 February 2022 06:25,"কমছে জলাভূমি, সঙ্কটে পরিবেশ",ID-1684.txt,No,No,No,No,Real,Neutral,Bangladesh,Forestry and Tree Plantation,N/A,N/A
27 January 2022 05:14,সবুজের মর্যাদা,ID-1689.txt,No,No,No,No,Real,Neutral,India,Environmental Pollution,N/A,N/A
28 December 2021 16:25,পরিবেশ রক্ষার বার্তা দিয়ে গঙ্গোত্রী থেকে গঙ্গাসাগর ‘লং মার্চ’ ৬৪ বছরের তরুণের,ID-1697.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,N/A,Other Authority
28 December 2021 07:44,ফের পরিবেশ বাঁচিয়ে উন্নয়ন-বার্তা মোদীর,ID-1698.txt,No,No,Yes,No,Real,Positive,India,Environmental Protection,General People,Government
13 January 2023 09:44,রেহমান সোবহান: রাজনৈতিকভাবে ক্ষমতাবানরা পরিবেশকে ধ্বংস করছে,ID-170.txt,Yes,No,No,No,Maybe Fake,Positive,Bangladesh,Environmental Pollution,Goverment,Other Authority
01 September 2022 01:51,"উদ্বোধনের অপেক্ষায় রামপাল বিদ্যুৎকেন্দ্র, প্রতিবাদের জন্য প্রস্তুত ...",ID-171.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Environmental Pollution,N/A,Environmental/Forestry Authority
02 December 2021 07:20,"প্রযুক্তি ক্ষেত্রে লগ্নির পরিবেশ গড়ে তুলছে বাংলা, আরও বিনিয়োগ করুন, আহ্বান মমতার",ID-1721.txt,Yes,No,No,No,Real,Positive,India,E-Waste,General People,Government
20 November 2021 06:18,"ধাপার জল, স্থল ও বাতাসের দূষণে মাসিক ক্ষতি আট লক্ষ টাকা",ID-1728.txt,No,No,Yes,No,Real,Positive,Bangladesh,Environmental Pollution,Authority,Legal/Court
16 November 2021 18:36,"ধূপগুড়ির কলেজ জুড়ে অস্বাস্থ্যকর পরিবেশ, নির্দেশ সত্ত্বেও মঙ্গলবার খুলল না দরজা",ID-1733.txt,No,No,No,No,Real,Negative,India,Environmental Pollution,Authority,Other Authority
15 November 2021 05:24,"শিয়ালদহ রয়েছে শিয়ালদহে, সংশয় ভাবমূর্তি নিয়েই",ID-1737.txt,Yes,No,Yes,Yes,Real,Problematic,India,Plastic Pollution,Authority,Legal/Court
27 October 2023 01:21,"সিসা দূষণে উদ্বেগজনক অবস্থায় বাংলাদেশ, ঝুঁকিতে শিশুরা",ID-174.txt,No,Yes,No,Yes,Real,Positive,Bangladesh,Heavy Metal,Industries,Other Authority
11 November 2021 08:25,গাছ লাগানোর নির্দেশ দিল জাতীয় পরিবেশ আদালত,ID-1741.txt,No,No,No,No,Real,Positive,India,Forestry and Tree Plantation,N/A,Legal/Court
03 November 2021 07:36,আনন্দের বিপদ,ID-1752.txt,No,No,No,No,Real,Positive,India,Light Pollution,Goverment,Legal/Court
01 November 2021 16:03,"বাজিতে নিষেধাজ্ঞা নাকচ সুপ্রিম কোর্টে, পরিবেশবান্ধব বাজি পোড়ানোয় সম্মতি",ID-1755.txt,Yes,No,No,No,Real,Negative,India,Light Pollution,Goverment,Legal/Court
30 October 2021 18:33,"রেডিট, ফেসবুকের চাকরি ছেড়ে পরিবেশ বাঁচাতে ১ লক্ষ কোটি গাছ লাগাচ্ছেন ইনি",ID-1757.txt,No,Yes,Yes,No,Maybe Real,Positive,Global,Foresty and Tree Plantation,N/A,NGO
29 October 2021 07:27,আদালতে যাবে পরিবেশকর্মী সংগঠন,ID-1760.txt,No,No,No,No,Maybe Real,Positive,India,Light Pollution,General People,Legal/Court
18 October 2021 06:57,"বিসর্জনে বিধি ভাঙা, দূষণের অভিযোগও",ID-1767.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,General People,Government
02 October 2022 09:52,পরিবেশের জন্য ক্ষতিকর বোরিং ড্রেজার ভেঙে দিলেন শরণখোলার ইউএনও,ID-177.txt,No,No,No,No,Maybe Real,Positive,Bangladesh,Environmental Pollution,Dishonest people,Governent
03 September 2021 04:58,পরিবেশ বিধির ফস্কা গেরো,ID-1785.txt,No,No,Yes,No,Real,Problematic,India,Environmental Protection,All,Legal/Court
01 September 2021 19:43,"চাল থেকে তৈরি হবে জ্বালানি, নতুন শিল্পের পরিকল্পনা ঘোষণা মমতার",ID-1789.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,N/A,Legal/Court
13 January 2020 04:35,রাজধানীর বায়ু দূষণ রোধে ৯ দফা নির্দেশনা,ID-18.txt,No,No,No,No,Real,Positive,Bangladesh,Air Pollution,N/A,Legal/Court
06 August 2021 07:58,জ়েডএসআই শীর্ষে প্রথম মহিলা ধৃতি,ID-1800.txt,No,No,Yes,Yes,Real,Positive,Global,Wildlife,N/A,Scientists & Researcher
23 July 2021 05:35,পরিস্রুত জলে ধোয়া হচ্ছে রেলের কোচ!,ID-1809.txt,No,No,No,No,Real,Positive,India,Water Resource Pollution,Authority,Legal/Court
29 October 2020 10:56,দখল-দূষণ-ভরাটে মৃতপ্রায় কুমিল্লার পুরাতন গোমতী নদী,ID-181.txt,Yes,No,No,Yes,Real,Negative,Bangladesh,Global Warming,Dishonest people,Governent
12 July 2021 16:53,"লাদাখের পরিবেশ দূষণের অভিযোগ উঠল আমির খান ও তাঁর সহকর্মীদের উপর, ভিডিয়ো প্রকাশ্যে",ID-1813.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,Authority,General people
21 February 2022 05:18,দখল-দূষণে মৃতপ্রায় রাজবাড়ীর চন্দনা নদী,ID-182.txt,Yes,No,No,No,Real,Negative,Bangladesh,Water Resource Pollution,Dishonest people,Legal/Court
25 July 2022 07:44,"নদী রক্ষা করতে না পারলে, দেশ রক্ষা করা যাবে না'",ID-183.txt,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,General People,Environmental/Forestry Authority
06 June 2021 05:08,চারা লাগিয়ে ঝড় রোখার চেষ্টা,ID-1833.txt,No,No,Yes,Yes,Real,Positive,India,Natural Disaster,N/A,Other Authority
05 June 2021 12:52,বিশ্ব পরিবেশ দিবসে কয়েকটি অভ্যাস বদলান। পরিবেশ বাঁচানোর প্রচেষ্টায় যোগ দিন,ID-1837.txt,No,No,No,No,Real,Positive,Bangladesh,Environmental Protection,General People,N/A
04 June 2021 17:39,বিশ্ব পরিবেশ দিবসে মহৎ উদ্যোগে নামল ইস্টবেঙ্গল,ID-1839.txt,No,No,No,No,Real,Positive,Bangladesh,Forestry and Tree Plantation,N/A,Other Authority
04 June 2021 06:52,আমপান-ধ্বস্ত গাছের রিপোর্ট কি তথ্যের ঘাটতি মেটাবে?,ID-1840.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,N/A,N/A
30 May 2021 07:24,"যা করেছি, সবই পরিবেশ আর প্রকৃতিকে ভালবেসে",ID-1845.txt,No,No,Yes,No,Real,Positive,India,Environmental Protection,N/A,Other Authority
28 May 2021 23:12,সবুজায়ন আর সৌন্দর্যায়নের জন্য প্ল্যাটিনাম রেটিং পেল আসানসোল স্টেশন,ID-1848.txt,No,No,No,No,Real,Positive,India,Environmental Protection,N/A,Other Authority
21 April 2021 10:14,বুড়িগঙ্গার দূষণ এবং রোধে করণীয়,ID-185.txt,No,Yes,Yes,Yes,Real,Positive,Bangladesh,Water Pollution,General People,Environmental/Forestry Authority
19 April 2021 05:03,অত্যাচার,ID-1858.txt,Yes,No,No,No,Maybe Real,Positive,Bangladesh,Forestry and Tree Plantation,Government,N/A
27 April 2024 11:00,নদী সুরক্ষায় প্রকল্প থাকলেও জন-আকাঙ্ক্ষার প্রতিফলন নেই',ID-186.txt,Yes,No,No,No,Real,Positive,Bangladesh,Water Pollution,Goverment,Environmental/Forestry Authority
04 April 2021 06:24,বাইডেনের পরিবেশ বৈঠকে প্রধানমন্ত্রী,ID-1867.txt,No,No,No,Yes,Real,Positive,Global,Climate Change,General People,Other Authority
04 June 2022 08:32,দূষণমুক্ত নদীর দাবিতে 'বুড়িগঙ্গায় গণগোসল',ID-187.txt,No,No,No,Yes,Real,Neutral,Bangladesh,Water Pollution,All,Environmental/Forestry Authority
22 March 2021 06:33,ঠিক যেন রাজনীতির দুয়োরানি,ID-1870.txt,Yes,No,Yes,Yes,Real,Positive,India,Climate Change,Government,Environmental/Forestry Authority
18 March 2021 07:11,সিসাহীন রঙে দেওয়াল লিখে পরিবেশ রক্ষার বার্তা,ID-1873.txt,Yes,No,No,No,Real,Positive,India,Heavy Metal,General People,Environmental/Forestry Authority
17 March 2021 20:38,পরিবেশ বাঁচাতে খোয়াই হাট বন্ধের দাবি আদিবাসী গাঁওতার,ID-1874.txt,No,No,No,No,Real,Positive,Bangladesh,Environmental Pollution,Dishonest people,General people
01 July 2019 04:46,হাইকোর্ট: তুরাগ নদী এখন থেকে জীবন্ত সত্তা,ID-188.txt,No,No,No,No,Maybe Real,Positive,Bangladesh,Water Pollution,Goverment,Environmental/Forestry Authority
23 February 2021 12:55,গাছ ‘কাটা’ না ‘ছাঁটা’? মমতার সভার আগে মোদীর হেলিপ্যাড নিয়ে সরগরম সাহাগঞ্জ,ID-1886.txt,No,No,Yes,No,Real,Negative,India,Forestry and Tree Plantation,Government,Other Authority
26 February 2019 09:00,গাজীখালি নদী যেন বর্জ্যের ড্রেন!,ID-189.txt,Yes,No,No,No,Real,Positive,Bangladesh,Water Pollution,Goverment,Legal/Court
17 February 2021 07:20,পরিবেশ এতই দুয়োরানি?,ID-1892.txt,Yes,No,No,No,Real,Neutral,India,Climate Change,Authority,N/A
08 February 2021 05:53,খরচ তুলতে কেরোসিনে চলছে বাস! বেলাগাম পরিবেশ দূষণের আশঙ্কা,ID-1898.txt,No,No,No,No,Real,Neutral,India,Air Pollution,Industries,N/A
01 November 2019 08:44,"দিল্লিতে ভয়াবহ বায়ু দূষণ, মঙ্গলবার পর্যন্ত শিক্ষা প্রতিষ্ঠান বন্ধ ...",ID-19.txt,No,No,No,No,Real,Neutral,India,Air Pollution,N/A,Legal/Court
05 June 2023 08:11,দখল-দূষণ আর আবর্জনার ভাগাড়ে পল্লিকবির স্মৃতি-বিজড়িত কুমার নদ,ID-190.txt,No,No,Yes,No,Maybe Real,Positive,Bangladesh,Water Pollution,General People,Governent
30 January 2021 06:32,গার্ডেনরিচ ভাগাড়েও চালু করা হবে বায়ো-মাইনিং পদ্ধতি,ID-1906.txt,No,No,No,No,Real,Neutral,India,Environmental Protection,N/A,Government
11 April 2019 04:58,প্রধানমন্ত্রী: নদীতে বর্জ্য ফেলা বন্ধ করুন,ID-191.txt,Yes,No,No,Yes,Real,Positive,Bangladesh,Water Pollution,Industries,Governent
26 January 2021 06:46,পরিবেশ রক্ষায় ফিরছে আমেরিকা,ID-1911.txt,Yes,No,No,No,Real,Positive,USA,Environmental Protection,N/A,Government
10 January 2021 01:34,"‘মন্ত্রীদের মন্তব্যে থাকে রাজনীতি, পরিবেশ নয়!’",ID-1917.txt,Yes,No,Yes,Yes,Maybe Real,Neutral,India,Climate Change,Government,N/A
11 April 2022 11:37,"নারায়ণগঞ্জের নদীতে ময়লার ঝাঁক, দুর্গন্ধে বন্ধ জনতার নাক",ID-192.txt,Yes,No,No,No,Real,Positive,Bangladesh,Water Pollution,Industries,N/A
08 January 2021 00:20,গ্রিন অটো চালাতে ফের সমস্যা ভাঙড়ে,ID-1920.txt,No,No,No,No,Real,Problematic,India,Environmental Protection,General People,Crime/Police
07 January 2021 00:52,"হঠাৎ ঠান্ডা, হঠাৎ গরমেও ত্রাতা হয়ে উঠছে সেই মাস্ক-ই",ID-1921.txt,No,No,No,No,Real,Negative,India,Climate Change,N/A,Scientists & Researcher
28 December 2020 22:13,সবুজ বাঁচাতে কেন্দ্রীয় খসড়ার বিরুদ্ধে আন্দোলনের ডাক পরিবেশ কর্মীদের,ID-1927.txt,No,No,Yes,Yes,Real,Positive,India,Forestry and Tree Plantation,Dishonest people,Environmental/Forestry Authority
14 August 2023 03:51,হিসনা নদীর প্রাণ কেড়ে বাঁধ দিয়ে মাছ চাষ করছে দখলদাররা,ID-193.txt,Yes,Yes,Yes,Yes,Real,Positive,Bangladesh,Water Pollution,Dishonest people,Governent
18 December 2020 04:59,ঝিল রক্ষায় আবর্জনা ফেলার জায়গা ঘিরে দিল রেল,ID-1936.txt,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Government
07 September 2020 12:00,পদ্মায় ধরা পড়েছে বিপন্ন প্রজাতির শিলং মাছ,ID-194.txt,No,No,No,Yes,Real,Positive,Bangladesh,Water Resource Pollution,Industries,Environmental/Forestry Authority
14 December 2020 00:38,সম্পাদক সমীপেষু: পরিবেশ-বান্ধব,ID-1941.txt,No,No,Yes,Yes,Maybe Real,Positive,India,Forestry and Tree Plantation,N/A,Scientists & Researcher
12 December 2020 03:12,আরাবাড়ির জেলাতেই কমছে বনাঞ্চল,ID-1944.txt,No,No,No,No,Real,Problematic,India,Forestry and Tree Plantation,Dishonest people,Legal/Court
10 December 2020 21:00,"সাইকেলে ৪০০ কিলোমিটার, পরিবেশ বাঁচাতে উদ্যোগ উত্তরপাড়ার ক্লাবের",ID-1945.txt,No,No,No,No,Real,Positive,India,Environmental Protection,N/A,N/A
07 November 2022 06:18,গাজীপুরে একটি জলাশয়ও দূষণমুক্ত নেই,ID-195.txt,Yes,No,Yes,Yes,Real,Positive,Bangladesh,Water Pollution,Authority,Other Authority
09 October 2023 04:13,"কীটনাশকের বিষে জর্জরিত সুন্দরবন, জীববৈচিত্র্য হুমকিতে",ID-196.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Wildlife,Dishonest people,Environmental/Forestry Authority
24 November 2020 06:34,"বালতি বিলিই সার, বর্জ্য ব্যবস্থাপনা থমকে সদরে",ID-1962.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,Authority,Government
31 January 2020 12:24,দখল-দূষণে হারিয়ে যাচ্ছে শীতলক্ষ্যা,ID-197.txt,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,Industries,N/A
20 November 2020 19:37,"পরিবেশ বাঁচাতে ত্রাতা আদালত, ছট পুজো হল না সুভাষ এবং রবীন্দ্র সরোবরে",ID-1972.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,General People,Legal/Court
20 November 2020 03:10,"সুপ্রিম কোর্টের রায়ে ‘জয় পরিবেশের’, বলছেন পরিবেশ কর্মীরা",ID-1977.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,N/A,Legal/Court
21 January 2024 10:11,তুরস্কে দেখা মিলল বিপন্ন বারবেল মাছের,ID-198.txt,No,No,No,No,Real,Neutral,Turkey,Wildlife,General People,Scientists
19 November 2020 04:15,পরিবেশ কোর্টের রায় মানতে তৈরি হচ্ছে পুলিশ,ID-1982.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,N/A,Legal/Court
18 November 2020 03:41,"পরিবেশ গৌন, ছটপুজোয় কি মুখ্য হয়ে উঠছে ভোট-সমীকরণ",ID-1986.txt,Yes,No,Yes,Yes,Real,Neutral,India,Climate Change,General People,Legal/Court
21 March 2023 01:41,দূষণ-অগ্নিকাণ্ডে হুমকির মুখে সুন্দরবন,ID-199.txt,Yes,No,No,No,Real,Positive,Bangladesh,Plastic Pollution,Dishonest people,Environmental/Forestry Authority
08 November 2020 04:15,বাজি নিয়ে রাজনীতির লড়াই,ID-1998.txt,Yes,Yes,Yes,Yes,Maybe Real,Problematic,Bangladesh,Sound Pollution,Government,General people
06 March 2019 06:13,বায়ু দূষণ রোধে চীনকে পাশে চায় সিউল,ID-20.txt,No,No,No,No,Real,Positive,Global,Air Pollution,N/A,N/A
02 July 2020 10:58,ঢাকার আশেপাশের নদী দখলমুক্ত করতে শিগগিরই অভিযান',ID-200.txt,Yes,No,No,No,Real,Problematic,Bangladesh,Water Pollution,All,Governent
06 November 2020 02:32,বাজি নিয়ে হাইকোর্টের রায়ে খুশি পরিবেশপ্রেমীরা,ID-2001.txt,No,No,No,No,Real,Positive,India,Sound Pollution,General People,Legal/Court
